stationcode,name,arrdt,lat,lon,ts_hour,bikes_mean,bikes_median,docks_mean
13041,Porte d'Ivry,Paris,48.821768747596,2.3688706755638,2025-08-20 15:00:00+00:00,9.0,9.0,41.0
13043,Dunois - Clisson,Paris,48.832294,2.3674523,2025-08-20 15:00:00+00:00,48.0,48.0,2.0
13044,Place Jeanne d'Arc,Paris,48.829575,2.369126,2025-08-20 15:00:00+00:00,10.0,10.0,26.0
13045,Jean Colly - Tolbiac,Paris,48.827817291597846,2.3705490678548813,2025-08-20 15:00:00+00:00,10.0,10.0,24.0
13046,Eugène Oudiné - Dessous Des Berges,Paris,48.8256423,2.3750226,2025-08-20 15:00:00+00:00,41.0,41.0,2.0
13047,Boutroux - Porte de Vitry,Paris,48.822632,2.377738,2025-08-20 15:00:00+00:00,48.0,48.0,1.0
13048,Wurtz - Tolbiac,Paris,48.82631195621,2.344585955143,2025-08-20 15:00:00+00:00,15.0,15.0,12.0
13049,Vincent Auriol - Louise Weiss,Paris,48.834001935501,2.3703888058662,2025-08-20 15:00:00+00:00,13.0,13.0,9.0
13050,Quai Panhard et Levassor,Paris,48.828374828097,2.3842737458056,2025-08-20 15:00:00+00:00,50.0,50.0,7.0
13051,Halle Freyssinet - Parvis Alan Turing,Paris,48.832846814471,2.3711421713233,2025-08-20 15:00:00+00:00,23.0,23.0,14.0
13052,Leredde - Tolbiac,Paris,48.82887629664,2.3744382709265,2025-08-20 15:00:00+00:00,40.0,40.0,4.0
13053,Chevaleret - Tolbiac,Paris,48.82941,2.375934,2025-08-20 15:00:00+00:00,18.0,18.0,2.0
13054,Pau Casals - Neuve Tolbiac,Paris,48.8311602,2.3774395,2025-08-20 15:00:00+00:00,64.0,64.0,13.0
13055,M.- A. Lagroua Weill-Hallé -  F. Dolto,Paris,48.82859528385743,2.380220606266108,2025-08-20 15:00:00+00:00,57.0,57.0,3.0
13101,Croulebarde - Corvisart,Paris,48.830981659316855,2.3481646925210957,2025-08-20 15:00:00+00:00,19.0,19.0,15.0
13102,Pitié-Salpêtrière,Paris,48.83748810318667,2.365213818848133,2025-08-20 15:00:00+00:00,43.0,43.0,8.0
13103,Hôpital Pitié Salpêtrière,Paris,48.8377016,2.3604946,2025-08-20 15:00:00+00:00,8.0,8.0,42.0
13104,Gare d'Austerlitz - Quai Saint-Bernard,Paris,48.84369030864,2.3657163977623,2025-08-20 15:00:00+00:00,26.0,26.0,0.0
